id,title,authors,published,year,categories,arxiv_url,pdf_url,code,_domains,_tasks,publication
2603.23799v1,Resolving gradient pathology in physics-informed epidemiological models,Nickson Golooba; Woldegebriel Assefa Woldegerima,2026-03-25,2026,cs.LG; math.NA; math.OC,http://arxiv.org/abs/2603.23799v1,https://arxiv.org/pdf/2603.23799v1,,physical_ai; medical_ai,PINN; Pathology; HealthMon,
2604.00029v1,Spatio-Temporal Uncertainty-Modulated Physics-Informed Neural Networks for Solving Hyperbolic Conservation Laws with Strong Shocks,Darui Zhao; Ze Tao; Fujun Liu,2026-03-20,2026,physics.comp-ph,http://arxiv.org/abs/2604.00029v1,https://arxiv.org/pdf/2604.00029v1,,physical_ai; medical_ai,PINN; FluidSim; Pathology; HealthMon,
2603.12556v1,Scaling Laws and Pathologies of Single-Layer PINNs: Network Width and PDE Nonlinearity,Faris Chaudhry,2026-03-13,2026,cs.LG; math.NA; physics.comp-ph,http://arxiv.org/abs/2603.12556v1,https://arxiv.org/pdf/2603.12556v1,,physical_ai; medical_ai,PINN; Pathology,
2603.04070v2,Physics Informed Deep Unfolded Full Waveform Inversion for Edema Detection,Ruizhi Zhang; Yhonatan Kvich; Rui Guo; Oded Cohen; Yonina C. Eldar,2026-03-04,2026,eess.SP,http://arxiv.org/abs/2603.04070v2,https://arxiv.org/pdf/2603.04070v2,,physical_ai; medical_ai,Sim2Real; PINN; Pathology; MedImg; Clinical,
2601.00081v1,"Cuffless, calibration-free hemodynamic monitoring with physics-informed machine learning models",Henry Crandall; Tyler Schuessler; Filip Bělík; Albert Fabregas; Barry M. Stults; Alexandra Boyadzhiev; Huanan Zhang; Jim S. Wu; Aylin R. Rodan; Stephen P. Juraschek,2025-12-31,2025,physics.med-ph; cs.LG,http://arxiv.org/abs/2601.00081v1,https://arxiv.org/pdf/2601.00081v1,,physical_ai; medical_ai,PINN; FluidSim; HealthMon,
2512.18863v1,"A physics-informed, plug-and-play dose engine for gradient-based radiotherapy treatment planning",Attila Simkó; Matthias Kronsteiner; Simon Glatzer; Minh Vu; Josef A. Lundman; Joakim Jonsson; Jörgen Olofsson; Kristina Sandgren; Wolfgang Lechner; Dietmar Georg,2025-12-21,2025,physics.med-ph,http://arxiv.org/abs/2512.18863v1,https://arxiv.org/pdf/2512.18863v1,,physical_ai; medical_ai,PINN; Cancer,
2511.12053v1,Real-Time Physics-Aware Battery Health Monitoring from Partial Charging Profiles via Physics-Informed Neural Networks,Xubo Gu; Xun Huan; Yao Ren; Wenqing Zhou; Weiran Jiang; Ziyou Song,2025-11-15,2025,eess.SY,http://arxiv.org/abs/2511.12053v1,https://arxiv.org/pdf/2511.12053v1,,physical_ai; medical_ai,PINN; HealthMon,
2511.01804v1,Dynamic Reconstruction of Ultrasound-Derived Flow Fields With Physics-Informed Neural Fields,Viraj Patel; Lisa Kreusser; Katharine Fraser,2025-11-03,2025,cs.LG,http://arxiv.org/abs/2511.01804v1,https://arxiv.org/pdf/2511.01804v1,,physical_ai; medical_ai,PINN; MedImg; Clinical; HealthMon,
2510.23140v1,Fast Voxel-Wise Kinetic Modeling in Dynamic PET using a Physics-Informed CycleGAN,Christian Salomonsen; Samuel Kuttner; Michael Kampffmeyer; Robert Jenssen; Kristoffer Wickstrøm; Jong Chul Ye; Elisabeth Wetzer,2025-10-27,2025,cs.CV; q-bio.OT,http://arxiv.org/abs/2510.23140v1,https://arxiv.org/pdf/2510.23140v1,,physical_ai; medical_ai,PINN; MedImg; Cancer; Clinical,
2510.15075v1,Physics-informed data-driven machine health monitoring for two-photon lithography,Sixian Jia; Zhiqiao Dong; Chenhui Shao,2025-10-16,2025,cs.LG; stat.ML,http://arxiv.org/abs/2510.15075v1,https://arxiv.org/pdf/2510.15075v1,,physical_ai; medical_ai,Predictive; PINN; HealthMon,
2510.13431v1,Modeling Adoptive Cell Therapy in Bladder Cancer from Sparse Biological Data using PINNs,Kayode Olumoyin; Katarzyna Rejniak,2025-10-15,2025,cs.LG; q-bio.CB; q-bio.PE,http://arxiv.org/abs/2510.13431v1,https://arxiv.org/pdf/2510.13431v1,,physical_ai; medical_ai,PINN; Cancer,Cell
2510.13886v1,Physics-Informed autoencoder for DSC-MRI Perfusion post-processing: application to glioma grading,Pierre Fayolle; Alexandre Bône; Noëlie Debs; Mathieu Naudin; Pascal Bourdon; Remy Guillevin; David Helbert,2025-10-14,2025,q-bio.QM; cs.AI; eess.IV; eess.SP,http://arxiv.org/abs/2510.13886v1,https://arxiv.org/pdf/2510.13886v1,,physical_ai; medical_ai,PINN; MedImg,
2510.05433v1,Physics-Informed Machine Learning in Biomedical Science and Engineering,Nazanin Ahmadi; Qianying Cao; Jay D. Humphrey; George Em Karniadakis,2025-10-06,2025,cs.LG; cs.AI; q-bio.QM,http://arxiv.org/abs/2510.05433v1,https://arxiv.org/pdf/2510.05433v1,,physical_ai; medical_ai,Sim2Real; PINN; NeuralOp; MedImg; HealthMon,Science
2509.19588v2,Discovery of Sustainable Refrigerants through Physics-Informed RL Fine-Tuning of Sequence Models,Adrien Goldszal; Diego Calanzone; Vincent Taboga; Pierre-Luc Bacon,2025-09-23,2025,physics.chem-ph; cs.LG,http://arxiv.org/abs/2509.19588v2,https://arxiv.org/pdf/2509.19588v2,,physical_ai; medical_ai,Sim2Real; Predictive; PINN; DrugMol,
2604.18225v1,Is SAM3 ready for pathology segmentation?,Qiuyu Kong; Shakiba Sharifi; Zanxi Ruan; Yiming Wang; Marco Cristani,2026-04-20,2026,cs.CV; cs.AI,http://arxiv.org/abs/2604.18225v1,https://arxiv.org/pdf/2604.18225v1,,medical_ai,Pathology; MedImg,
